,Name,Description,Popularity,carbohydrates,fat,protein,calories,protein-cal-ratio
6040,Dashi,"<p>One of the fundamental ingredients in Japanese cuisine, dashi is a type of soup and cooking stock often used as the base for different miso and noodle soups, <em>donburi</em> or rice bowl dishes, stews and many other kinds of <em>nimono</em> or simmered dishes. Dashi is typically made from <em>kombu</em> (dried kelp), <em>katsuobushi</em> (dried and smoked skipjack tuna), <em>iriko</em> or <em>niboshi</em> (anchovies or sardines), or a combination of these ingredients, all of which are naturally rich in glutamates and thus deliver an intense <em>umami</em> flavor to a number of Japanese dishes. There are several types of dashi and deciding on which kind of dashi to use for a particular dish depends solely on one's preference. <em>Awase dashi</em> is the most common all-purpose seafood-based stock made from a combination of kombu and bonito flakes. It is most often used for preparing dishes such as <em>miso soup</em>, <em>oyakodon</em>, <em>oden</em>, <em>nikujaga</em>, <em>chikuzenni</em>, <em>tamagoyaki</em>, etc. <em>Kombu dashi</em> is a vegetarian stock made exclusively with kombu; it has a mild flavor and goes well with either vegetable or fish-based dishes such as yudofu or clamp soup, as it doesn't overpower other flavors. <em>Iriko</em> or <em>niboshi dashi</em> is a seafood-based stock made from dried baby anchovies or sardines; it has a strong fishy aroma, but its flavor is not as strong. Compared to katsuobushi and kombu, this dashi is more affordable and most commonly used for making miso soup, noodle soup dishes like <em>curry udon</em> or <em>kitsune udon</em>, as well as various donburi and nimono dishes. <em>Shiitake dashi</em> is another vegetarian stock made by rehydrating dried shiitake mushrooms. It is rarely used on its own; instead, it is usually combined with other kinds of dashi to enhance the flavor and add umami to various noodle soups and simmered dishes.</p>",45000000,5.9529999999999985,0.6465,4.757,45.421025,0.1047312340485491
1287,Ceviche,"<p>Ceviche is the national dish of Peru consisting of slices of raw fish or shellfish that is spiced with salt, onions, and chili peppers, then marinated in lime juice. Due to the acidity of lime juice, the texture of the fish changes, as does its color &ndash; from pink to white. The acidic marinade, also known as<em> leche de tigre</em> (lit. tiger's milk) ""cooks"" the meat without any heat involved in the process. For ceviche, fresh fish is an imperative, as fish and shellfish that are not fresh can cause food poisoning. Peruvians are used to fresh ingredients, so the fish will sometimes be prepared for ceviche less than an hour after being caught. Fish for ceviche can be divided into three categories: firm, medium, and soft. The dish was originally made by the natives who marinated fish and <em>amarillo</em> chiles in the juices of a native fruit called <em>tumbo</em>, which was replaced by lime juice when the Spanish brought limes and onions to the country. The flavors of ceviche are slightly acidic and spicy, with an intense aroma of the sea. Traditionally, it is served on a bed of lettuce with tiny pieces of corn, chunks of sweet potato, and boiled yuca. <em>Cancha</em>, a variety of popcorn made from large corn kernels toasted in salt and oil provides an ideal side dish. The dish is traditionally served at <em>cevicherias</em>, specialized ceviche restaurants that can be found all over the country, and it is so popular that it even has its day, known as National Ceviche Day.</p>",25000000,11.42578947368421,2.696315789473684,21.804736842105264,166.4336842105263,0.1310115614248128
1731,Carpaccio,"<p>This traditional Italian dish of worldwide fame is typically served as an appetizer, and consists of very thin slices of raw fish or meat served on a plate with olive oil, cheese shavings, and lemon. Carpaccio was created in 1950 by a Venetian restaurateur named Giuseppe Cipriani, the owner of <em>Harry&rsquo;s Bar</em>, who first made the dish for Countess Amalia Nani Mocenigo, whose doctors had recommended she eat raw meat. Cipriani based the dish on a specialty from Piedmont consisting of slices of raw beef dressed with lemon juice, olive oil, and white truffle shavings. An impassioned art lover, Cipriani named the new dish carpaccio in honor of painter Vittore Carpaccio, whose style and bold colors were reminiscent of the intense red color of raw meat. Today, there are numerous modern varieties of carpaccio made with zucchini, scallops, beet, salmon, figs, and lamb, and it is said that any kind of carpaccio is best paired with a glass of wine on the side.</p>",15300000,3.251578947368421,12.253684210526316,24.571052631578947,163.92631578947368,0.14989083670455275
6149,Tataki,"<p>Tataki is the Japanese technique of preparing meat or fish, where the product is briefly seared and left raw in the middle. Most commonly, tuna steaks or beef tenderloin is employed in the tataki technique since perfect cuts allow equal searing on all sides. Meat or fish prepared tataki-style is primarily seared on all sides, then placed in an ice bath and left to chill.  It is then sliced into thin pieces and neatly arranged on a plate. Although it is often regarded as a unique technique, meat and fish products prepared in tataki-style are often served alongside other sashimi dishes. It is also commonly eaten as a single dish in traditional Japanese restaurants, where it is usually offered as an appetizer. When the meat or fish is arranged on a plate, the whole dish is usually doused in soy or ponzu sauce that is mixed with citrus juice and aromatized with grated ginger, onions, and sliced garlic. Sakamoto Ryōma, a prominent figure in Japan in the 19th century, is believed to have invented this traditional Japanese technique in the ancient province of Tosa, which is now a part of Kōchi Prefecture. The region is known for skipjack tuna (katsuo) tataki in which pieces of tuna are seared over an open flame. </p>",9000000,9.3125,8.48875,22.980625000000003,201.65625,0.11395939872927323
6099,Tandoori Chicken,"<p>Tandoori chicken is one of the most popular dishes in Indian cuisine, its name derived from the Persian word <em>tannur</em>, meaning <em>fire</em>. The dish consists of chicken meat that is marinated in yogurt, seasoned with tandoori masala, nutmeg, and cumin, then placed on skewers. It is a unique dish because of the way it is prepared - traditionally, it is cooked at high temperatures in cylindrical clay ovens called <em>tandoor</em>, resulting in succulent meat with a smokey flavor. One popular theory suggests that it was invented by a man named Kundan Lal Gujral in his restaurant <em>Moti Mahal</em> (Palace of Pearls). He wanted to make a new dish, so he tried cooking the chicken in the tandoor, which was mostly used for baking the famous Indian bread called naan. The dish was an instant hit with the hungry customers, and the crispy, yet succulent chicken dish even caught the attention of Indian Prime Minister Jawaharial Nehru, who often ate at the restaurant and made it a regular dish at official banquets. The aforementioned theory belongs to the recent past, but historians claim that tandoor-cooked chicken actually dates back to the Mughal period, when the dish was merely a part of gigantic Indian feasts at the time. Tandoori chicken's fame led to many derivatives such as <em>chicken tikka masala</em> and <em>butter chicken</em>, both of them commonly found in restaurants across the country.</p>",7600000,14.355065,9.758975,25.985095,253.26,0.10260244412856354
1292,Milanesa,"<p>Often referred to as Argentina's unofficial national dish, milanesa is a humble, yet delicious meal consisting of a breaded slice of prime beef that is fried in hot oil, curling up as it cooks, due to the fact that the chosen cuts of meat have less fat and sinew than other cuts. The dish shares many similarities with the Austrian <em>Wiener schnitzel</em> and the American <em>chicken fried steak</em>. However, milanesa has its roots in Italy, and the original dish has been traced to the city of Milan and the famous <em>cotoletta alla milanese</em>. Some claim that the best milanesa in Buenos Aires will always be prepared at home, cooked by someone's mother, although many restaurants also have it on their menus. For the pure, basic experience, it is enough to squeeze some lemon juice over it, but it is often served with a side of creamy mashed potatoes or french fries, while one of the most popular varieties is called <em>a caballo</em> (on horseback), where a fried egg is placed on top of the meat.</p>",6800000,5.984210526315789,6.721578947368421,19.226842105263156,172.73684210526315,0.1113071297989031
262,Pernil,"<p>Pernil is one of Puerto Rico's most famous dishes, a succulent roasted pork shoulder that is traditionally seasoned in a marinade called <em>adobo mojado</em>, consisting of paprika, salt, vinegar, garlic, and oregano. The name of the dish is derived from the Spanish word <em>pierna</em>, meaning <em>leg</em>, but it is also a Catalan word for <em>ham</em>, referring to the traditional recipe that calls for fresh ham. Because pork shoulder is more available and costs less than ham, it has become a key ingredient in pernil. Many people prefer it since it is believed to be much more flavorful than ham. The dish is a staple at numerous Puerto Rican festivities such as birthdays or weddings, where many people feast on the crunchy skin and tender meat that falls off the bone.</p>",5600000,1.1646842105263158,14.416315789473686,20.620526315789476,199.3684210526316,0.10342925026399157
1299,Pollo a la brasa,"<p>Pollo a la brasa is a popular Peruvian dish consisting of crunchy and juicy charcoal-grilled chicken that is traditionally served with French fries and salads. Today, it is one of the most consumed meals in Peru, so much that 27 million Peruvians eat it daily. The dish was first invented in Lima in the 1950s, when it was seasoned only with salt, but today the chicken is marinated in a special combination of ingredients consisting of vinegar, salt, pepper, rosemary, chili, and dark beer.</p>",4950000,9.641515789473685,15.753031578947366,33.86739473684211,322.0977894736842,0.10514631221835541
1774,Steak tartare,"<p>Steak tartare is an appetizer made with finely chopped raw beef or horse meat that is seasoned with salt, pepper, Worcestershire sauce, and either Tabasco or mustard. The meat is combined with a raw egg yolk, capers, onions, parsley, and (sometimes) chopped gherkins. When served, steak tartare is usually accompanied by toasted bread, rye bread, or french fries. It is believed that steak tartare was originally a variation on <em>beefsteack &agrave; l'Am&eacute;ricaine</em>, a dish of raw chopped beefsteak that first appeared in France at the turn of the 20th century. This variation, steak tartare, was originally served with tartar sauce, and anything that was served with it was known as <em>&agrave; la tartare</em>, hence the name.</p>",4500000,3.0410526315789475,17.748947368421053,25.91,255.10526315789474,0.10156591706210026
1793,Sauerbraten,"<p>The traditional German pot roast is one of the best ways to transform more tougher cuts of beef into a tender, succulent meal. Chuck and bottom round are most favored cuts for this German classic, while the key to a perfect sauerbraten is in its lengthy marinade of red wine, tart vinegar. and spices, which tenderizes the meat infusing it with sharp, tangy flavors. After long hours of braising, the remaining cooking liquid is whisked into <em>einbrenne</em> (roux), and finally simmered into a thick, brown gravy. Sauerbraten is traditionally served with German favorites such as <em>sp&auml;tzle</em> egg noodles, bread dumplings, or boiled potatoes and a side of braised or roasted red cabbage.</p>",4000000,11.945000000000004,6.8950000000000005,22.945,209.525,0.10950960505906217
